Year,Australia,Canada,France,Germany,Italy,Japan,Mexico,South Korea,UK,USA
2010,1.63,1.38,3.87,3.34,3.84,2.82,1.49,3.04,4.06,1.06
2011,1.72,1.52,3.85,3.42,3.87,3.27,1.79,3.8,4.29,1.17
2012,1.94,1.86,3.8,3.45,3.77,3.65,2.01,4.18,4.58,1.51
2013,1.71,1.72,3.51,3.4,3.57,3.27,2.2,3.76,4.13,1.46
2014,1.76,1.69,3.62,3.67,3.74,3.15,2.24,3.84,4.16,1.36
2015,2.19,1.99,4.35,4.59,4.53,3.47,2.04,4.11,4.7,1.59
2016,2.72,2.37,4.99,5.24,5.29,3.93,2.03,4.51,5.56,1.88
2017,3.23,2.89,5.46,5.66,5.74,4.28,2.22,5.28,5.97,2.3
2018,3.54,3.26,5.88,6.03,6.1,4.47,2.31,5.92,6.36,2.59
2019,3.85,3.59,6.6,6.88,6.73,4.49,2.4,6.21,7.13,2.8
2020,4.45,4.08,7.51,7.75,7.63,5.74,2.45,5.83,7.42,3.27
2021,4.45,4.08,7.51,7.75,7.63,5.74,2.45,5.83,7.42,3.27
2022,4.43,4.08,7.51,7.75,7.63,5.74,2.45,5.83,7.42,4.99
